,train_loss,test_loss,train_ACC,test_ACC,lr
1,1.926178361,1.611004157,28.01,38.64,0.1
2,1.452197258,1.383003449,46.24,49.98,0.1
3,1.17588921,1.16061038,57.478,58.84,0.1
4,0.967853438,0.903684355,65.724,68.64,0.1
5,0.840692572,1.003770084,70.248,65.58,0.1
6,0.712244145,1.01264515,75.228,68.09,0.1
7,0.624827224,0.761412775,78.37,74.8,0.1
8,0.569745674,0.909227943,80.364,70.61,0.1
9,0.525596769,0.619174506,81.93,78.94,0.1
10,0.498388021,0.704779774,83.086,76.53,0.1
11,0.471109317,0.948044028,83.88,71.03,0.1
12,0.459368005,0.766194402,84.18,75.96,0.1
13,0.437330259,0.549375358,85.002,81.8,0.1
14,0.422894428,0.546658167,85.516,81.7,0.1
15,0.410848771,0.522469248,85.874,82.74,0.1
16,0.396321401,0.599398907,86.338,80.19,0.1
17,0.389615888,0.697350007,86.738,77.01,0.1
18,0.382246941,0.793667907,87.004,75.28,0.1
19,0.372779845,0.626110934,87.26,79.9,0.1
20,0.372387907,0.602426064,87.222,80.96,0.1
21,0.369731678,1.122917268,87.312,70.47,0.1
22,0.36437057,0.716313403,87.422,78.87,0.1
23,0.357381701,0.646485216,87.862,80.54,0.1
24,0.352621191,0.516697216,87.854,83.11,0.1
25,0.349822666,0.528870769,87.982,82.58,0.1
26,0.34433015,0.528447112,88.114,82.6,0.1
27,0.347560134,0.516532133,88.108,83.63,0.1
28,0.337345782,0.583321692,88.492,81.64,0.1
29,0.342289347,0.618278486,88.42,81.54,0.1
30,0.340419355,0.581404518,88.286,81,0.1
31,0.333804167,0.519573458,88.64,83.47,0.1
32,0.333883551,0.90267752,88.448,72.6,0.1
33,0.325520821,0.55390352,89.096,81.81,0.1
34,0.330857678,0.650149822,88.536,80.09,0.1
35,0.317802831,0.430175964,89.112,85.96,0.1
36,0.32093809,0.486860468,88.866,84.45,0.1
37,0.318227511,0.615424072,89.036,80.73,0.1
38,0.313937084,0.714542564,89.196,78.65,0.1
39,0.310871597,0.474296901,89.344,83.93,0.1
40,0.312155138,0.59008494,89.412,80.7,0.1
41,0.319085293,0.521638969,89.122,82.43,0.1
42,0.31055462,0.656282625,89.372,80.53,0.1
43,0.307529786,0.627554484,89.47,79.77,0.1
44,0.304593522,0.429930315,89.662,85.82,0.1
45,0.312589202,0.601114324,89.128,81.24,0.1
46,0.306547636,0.422509455,89.512,85.55,0.1
47,0.308428499,0.449089161,89.436,85.27,0.1
48,0.303903985,0.410852324,89.73,86.47,0.1
49,0.306242745,0.525434119,89.654,83.29,0.1
50,0.30707309,0.559887177,89.546,82.97,0.1
51,0.304326251,0.513703186,89.504,83.18,0.1
52,0.303096103,0.616691064,89.664,80.12,0.1
53,0.30491417,0.434305349,89.502,84.71,0.1
54,0.300670466,0.45262231,89.664,85.02,0.1
55,0.301210478,0.602009773,89.56,81.43,0.1
56,0.302330828,0.417396241,89.642,86.11,0.1
57,0.30198488,0.374910284,89.66,87.69,0.1
58,0.295486927,0.711569347,89.808,78.23,0.1
59,0.303623956,0.443830031,89.574,85.63,0.1
60,0.295950149,0.494473005,89.94,84.51,0.1
61,0.300543618,0.535905782,89.742,82.68,0.1
62,0.294155587,0.449519754,89.982,85.69,0.1
63,0.297459179,0.44207795,89.802,85.93,0.1
64,0.294195418,0.429779015,90.016,85.76,0.1
65,0.293421749,0.525710675,89.854,83.47,0.1
66,0.301858963,0.756296462,89.696,77.63,0.1
67,0.295520759,0.437660806,90.02,85.48,0.1
68,0.295665302,0.542926605,89.898,82.81,0.1
69,0.293183949,0.469261663,90.006,84.88,0.1
70,0.295097359,0.472768558,89.894,84.34,0.1
71,0.292151339,0.52885173,90.03,82.98,0.1
72,0.293175752,0.483846222,90.138,84.79,0.1
73,0.285024963,0.437136209,90.308,85.85,0.1
74,0.296999448,0.668420926,89.81,80.88,0.1
75,0.295875377,0.480094925,89.884,84.11,0.1
76,0.29406677,0.454001566,89.954,85.19,0.1
77,0.292885731,0.441978088,89.882,85.55,0.1
78,0.294164206,0.428129874,89.942,86.01,0.1
79,0.284581411,0.708185588,90.272,78.82,0.1
80,0.2903656,0.422086368,90.054,86.64,0.1
81,0.287048645,0.494254153,90.142,83.94,0.1
82,0.288522147,0.528122792,90.12,83.2,0.1
83,0.288887542,0.467780042,90.06,84.38,0.1
84,0.287920274,0.636224598,90.022,80.54,0.1
85,0.289543568,0.435374575,90.094,85.46,0.1
86,0.286328195,0.38956896,90.222,87.23,0.1
87,0.281969239,0.677558698,90.424,80.89,0.1
88,0.288250949,0.369652686,90.106,87.91,0.1
89,0.283703728,0.783042185,90.246,77.94,0.1
90,0.288471762,0.475217119,90.22,84.37,0.1
91,0.281711258,0.538679393,90.466,83,0.1
92,0.283881551,0.585528122,90.332,81.67,0.1
93,0.289785267,0.42147299,89.966,86.28,0.1
94,0.289782553,0.540397015,90.132,82.92,0.1
95,0.28501949,0.449833842,90.186,85.04,0.1
96,0.283773481,0.521990536,90.296,83.02,0.1
97,0.28752587,0.516932783,90.134,83.46,0.1
98,0.28740192,0.429486767,90.266,86.51,0.1
99,0.291221778,0.526603774,90.062,82.51,0.1
100,0.28256374,0.529764724,90.284,83.89,0.1
