,train_loss,test_loss,train_ACC,test_ACC,lr
1,2.225178559,1.78685945,22.93,31.17,0.1
2,1.698720806,1.650300176,34.772,37,0.099975328
3,1.494479132,1.4444871,44.486,47.6,0.099901336
4,1.295031211,1.260636352,52.668,55.75,0.099778098
5,1.089315923,1.159135369,60.74,58.19,0.099605735
6,0.956921829,1.256988197,65.696,58.46,0.099384417
7,0.876188683,1.07520636,68.926,63.13,0.099114363
8,0.798469676,1.311489794,71.874,60.59,0.098795838
9,0.742762965,0.919654992,74.196,68.39,0.098429158
10,0.706585714,0.883963617,75.36,69.43,0.098014684
11,0.667351328,1.2327585,76.584,61.63,0.097552826
12,0.641074367,0.990726413,77.732,68.46,0.097044038
13,0.612910182,0.989539614,78.878,67.85,0.096488824
14,0.591870118,0.925100382,79.468,70.46,0.095887731
15,0.574576466,0.737854672,80.02,75.39,0.095241353
16,0.553440624,1.0283969,80.748,70.3,0.094550326
17,0.533063485,1.030295084,81.624,68.67,0.093815334
18,0.520421873,0.866587479,82.254,72.16,0.093037101
19,0.504785242,0.735233118,82.542,76.16,0.092216396
20,0.499718788,0.750628855,82.798,74.88,0.091354029
21,0.477236404,0.704557439,83.386,77.77,0.09045085
22,0.476536922,0.635743285,83.492,78.81,0.089507751
23,0.467057519,0.692056475,83.768,77.8,0.088525662
24,0.457563486,0.678216856,84.142,77.79,0.087505553
25,0.454747526,0.718538482,84.378,76.39,0.086448431
26,0.441433826,0.887398829,84.916,74.17,0.085355339
27,0.427302442,0.588185829,85.232,80.28,0.084227355
28,0.428294621,0.692495266,85.124,77.21,0.083065593
29,0.423151329,0.499191673,85.368,83.12,0.081871199
30,0.417548457,0.646268776,85.66,78.65,0.080645353
31,0.4021366,0.660803803,86.08,78.24,0.079389263
32,0.395901015,0.719272853,86.348,78.31,0.078104169
33,0.390279552,0.590642774,86.54,80.51,0.07679134
34,0.388998161,0.853543956,86.562,74.54,0.075452071
35,0.376096274,0.54238005,87.148,81.58,0.074087684
36,0.374839336,0.560700251,86.976,81.59,0.072699525
37,0.364723893,0.611481722,87.466,79.64,0.071288965
38,0.358525214,0.480949108,87.558,83.95,0.069857395
39,0.356296239,0.488492108,87.726,83.21,0.068406228
40,0.344987908,0.465928558,87.908,84.49,0.066936896
41,0.342292616,0.486648106,88.198,83.74,0.06545085
42,0.336094217,0.55088367,88.294,82.34,0.063949555
43,0.326780437,0.537677055,88.692,82.69,0.062434494
44,0.321547329,0.478826924,88.85,84.57,0.060907162
45,0.310427394,0.50649108,89.236,83.56,0.059369066
46,0.303393958,0.935058928,89.536,74.25,0.057821723
47,0.307886505,0.471246327,89.446,84.79,0.056266662
48,0.295209891,0.610303955,89.912,80.25,0.054705416
49,0.287478819,0.413619789,90.124,85.66,0.053139526
50,0.280610688,0.475226221,90.226,84.63,0.051570538
51,0.275625951,0.440395778,90.424,85.49,0.05
52,0.266878882,0.492432268,90.852,84.47,0.048429462
53,0.260822247,0.397506209,91,86.97,0.046860474
54,0.253690495,0.771666601,91.23,78.64,0.045294584
55,0.246972508,0.432827075,91.488,86.2,0.043733338
56,0.236334412,0.427018914,91.94,86.11,0.042178277
57,0.228574544,0.524117587,92.084,83.53,0.040630934
58,0.226219093,0.434384759,92.178,85.84,0.039092838
59,0.218386456,0.506745625,92.556,84.38,0.037565506
60,0.208460806,0.375354068,92.846,87.61,0.036050445
61,0.198545696,0.54453618,93.094,83.48,0.03454915
62,0.190775946,0.415987692,93.324,87.57,0.033063104
63,0.189872809,0.491425955,93.354,85.09,0.031593772
64,0.180021167,0.416026865,93.714,87.08,0.030142605
65,0.169791288,0.319534485,94.148,89.3,0.028711035
66,0.154685295,0.363133757,94.714,88.11,0.027300475
67,0.149122488,0.413361752,94.876,87.57,0.025912316
68,0.146675176,0.310692991,94.984,90.34,0.024547929
69,0.133563721,0.306309733,95.438,90.59,0.02320866
70,0.123738346,0.376384606,95.794,88.62,0.021895831
71,0.117307448,0.300175439,96.062,90.53,0.020610737
72,0.106080034,0.299154773,96.456,90.96,0.019354647
73,0.099805836,0.307553258,96.612,90.12,0.018128801
74,0.090784794,0.287508767,96.932,91.04,0.016934407
75,0.080690479,0.264869611,97.388,91.87,0.015772645
76,0.070937129,0.30042225,97.646,91.2,0.014644661
77,0.066017937,0.26898,97.862,92.03,0.013551569
78,0.054266946,0.29394585,98.314,91.33,0.012494447
79,0.04721135,0.260364751,98.594,92.4,0.011474338
80,0.040047655,0.232476675,98.79,93.23,0.010492249
81,0.032765841,0.255858045,99.062,92.7,0.00954915
82,0.028970202,0.252053691,99.238,92.8,0.008645971
83,0.02168431,0.223075098,99.492,93.57,0.007783604
84,0.017637435,0.217726717,99.622,93.77,0.006962899
85,0.014956515,0.226925812,99.714,93.73,0.006184666
86,0.012990222,0.215254445,99.784,93.9,0.005449674
87,0.010601979,0.212587598,99.844,93.97,0.004758647
88,0.009252781,0.210417038,99.884,94.13,0.004112269
89,0.008652788,0.210378964,99.888,94.06,0.003511176
90,0.007223912,0.208822567,99.942,94.03,0.002955962
91,0.006842954,0.21021724,99.942,93.95,0.002447174
92,0.006901936,0.206637713,99.922,94.05,0.001985316
93,0.006097285,0.204883486,99.954,94.15,0.001570842
94,0.006053818,0.206426124,99.948,94.19,0.001204162
95,0.005962282,0.205093113,99.95,94.09,0.000885637
96,0.00588196,0.205973755,99.954,94.11,0.000615583
97,0.005636315,0.208408626,99.962,94.06,0.000394265
98,0.005289043,0.205570375,99.978,94.06,0.000221902
99,0.005348681,0.205423326,99.978,94.03,9.87E-05
100,0.005385987,0.206749088,99.97,94.05,2.47E-05
