,train_loss,test_loss,train_ACC,test_ACC,lr
1,1.898925987,1.566344464,30.262,41.5,0.1
2,1.412668413,1.322007978,47.904,52.31,0.099975328
3,1.118773801,1.0908397,59.936,61.51,0.099901336
4,0.907739017,0.934282814,68.094,66.43,0.099778098
5,0.739762158,0.765450809,74.032,74.41,0.099605735
6,0.635121765,0.97168299,78.076,69.26,0.099384417
7,0.574545781,1.044113207,80.104,69.07,0.099114363
8,0.53702768,0.691993868,81.474,76.39,0.098795838
9,0.506615686,0.570247252,82.666,80.87,0.098429158
10,0.478308702,0.778401625,83.644,74.99,0.098014684
11,0.46170867,0.689577984,84.004,76.74,0.097552826
12,0.446774767,0.543571999,84.688,81.72,0.097044038
13,0.426920559,0.720810836,85.496,77.34,0.096488824
14,0.416452047,0.652777047,85.818,79.19,0.095887731
15,0.406504575,0.84452237,85.996,74.27,0.095241353
16,0.396861826,0.555923233,86.696,80.89,0.094550326
17,0.384049831,0.455545574,86.784,84.89,0.093815334
18,0.380320917,0.499699784,86.82,83.41,0.093037101
19,0.371642651,0.524695901,87.206,82.4,0.092216396
20,0.360290977,0.527472011,87.572,82.3,0.091354029
21,0.34819687,0.558401088,88.02,81.89,0.09045085
22,0.347206713,0.464763114,87.958,84.28,0.089507751
23,0.335676328,0.574915762,88.452,81.05,0.088525662
24,0.332963039,0.488518228,88.562,83.14,0.087505553
25,0.327598384,0.484466641,88.742,83.89,0.086448431
26,0.318019245,0.633405011,89.144,79.77,0.085355339
27,0.312787549,0.473880925,89.31,84.82,0.084227355
28,0.310155281,0.566669454,89.186,82.1,0.083065593
29,0.30043951,0.444348993,89.726,85.13,0.081871199
30,0.299290491,0.398941502,89.712,86.62,0.080645353
31,0.290320304,0.507125409,89.866,83.49,0.079389263
32,0.285487421,0.481823342,90.298,84.09,0.078104169
33,0.279242807,0.4583256,90.294,84.75,0.07679134
34,0.273866888,0.554846443,90.51,83.09,0.075452071
35,0.268641672,0.535801241,90.708,82.62,0.074087684
36,0.264570749,0.457577166,91.032,85.44,0.072699525
37,0.259705164,0.343267468,91.04,88.78,0.071288965
38,0.25329511,0.487142575,91.318,85.04,0.069857395
39,0.25429403,0.499680789,91.266,83.69,0.068406228
40,0.238100443,0.514118616,91.79,84.13,0.066936896
41,0.243315862,0.473884879,91.724,84.64,0.06545085
42,0.236199499,0.391933545,91.854,87.15,0.063949555
43,0.22723073,0.346199532,92.382,88.49,0.062434494
44,0.226103678,0.450686348,92.204,85.99,0.060907162
45,0.221692253,0.327990173,92.424,89.26,0.059369066
46,0.218818369,0.415583802,92.492,86.8,0.057821723
47,0.209726386,0.368346537,92.77,88.93,0.056266662
48,0.205770545,0.33905311,92.964,89.17,0.054705416
49,0.19746791,0.364892194,93.212,88.78,0.053139526
50,0.195181639,0.381411005,93.212,87.65,0.051570538
51,0.188346634,0.295937568,93.39,90.22,0.05
52,0.178450008,0.340629157,93.906,89.31,0.048429462
53,0.175388763,0.312018507,94.03,90.01,0.046860474
54,0.168089184,0.35486822,94.208,88.62,0.045294584
55,0.161069847,0.312754438,94.432,89.98,0.043733338
56,0.155827598,0.34331638,94.654,89.23,0.042178277
57,0.153876718,0.499974798,94.748,85.01,0.040630934
58,0.149027031,0.333232995,94.97,89.36,0.039092838
59,0.138203621,0.347225212,95.168,89.25,0.037565506
60,0.133565227,0.345277936,95.44,89.47,0.036050445
61,0.127612921,0.301699496,95.606,90.29,0.03454915
62,0.121888921,0.322020785,95.858,89.71,0.033063104
63,0.11420658,0.313875687,96.11,90.26,0.031593772
64,0.107184703,0.325026907,96.37,90.18,0.030142605
65,0.100883779,0.309228419,96.554,90.78,0.028711035
66,0.097230952,0.353174827,96.774,89.27,0.027300475
67,0.090748149,0.273608352,96.926,91.59,0.025912316
68,0.085201389,0.302998344,97.04,91.11,0.024547929
69,0.069933827,0.29194249,97.692,91.25,0.02320866
70,0.071369061,0.269888923,97.598,92.1,0.021895831
71,0.064378697,0.315444417,97.838,91.23,0.020610737
72,0.057076824,0.261375078,98.176,92.36,0.019354647
73,0.050468051,0.259824874,98.386,92.27,0.018128801
