,train_loss,test_loss,train_ACC,test_ACC,lr
1,1.767332311,1.462975398,33.96,45.6,0.01
2,1.273629578,1.307126169,53.582,55.19,0.009997533
3,0.996209362,0.968337432,64.572,66.77,0.009990134
4,0.828998556,0.828513042,70.712,71.7,0.00997781
5,0.69061667,0.793975587,75.882,73.92,0.009960574
6,0.589215962,0.603252543,79.61,79.39,0.009938442
7,0.510567358,0.652310215,82.466,79.19,0.009911436
8,0.449091297,0.506410439,84.448,83.02,0.009879584
9,0.400747859,0.520308634,86.118,82.76,0.009842916
10,0.360456435,0.447893363,87.544,85.52,0.009801468
11,0.333972016,0.416810346,88.32,86.67,0.009755283
12,0.297499538,0.436238728,89.608,86.15,0.009704404
13,0.272929667,0.419899735,90.446,86.54,0.009648882
14,0.256282685,0.414132521,91.096,86.81,0.009588773
15,0.232029069,0.362300959,91.982,88.23,0.009524135
16,0.214226679,0.393809604,92.6,87.98,0.009455033
17,0.193126965,0.461712507,93.3,86.66,0.009381533
18,0.183378949,0.423457022,93.564,87.45,0.00930371
19,0.165442762,0.440969645,94.1,87.14,0.00922164
20,0.154963756,0.433491845,94.578,87.23,0.009135403
21,0.147224896,0.388830928,94.792,89.09,0.009045085
22,0.130689907,0.481523329,95.324,86.95,0.008950775
23,0.121890003,0.447792502,95.666,88.35,0.008852566
24,0.111516611,0.401533062,96.082,89.17,0.008750555
25,0.103902925,0.387142929,96.394,90.18,0.008644843
26,0.101960045,0.374287658,96.362,89.87,0.008535534
27,0.092159395,0.390312731,96.82,89.98,0.008422736
28,0.082545094,0.3787896,97.052,89.96,0.008306559
29,0.082236377,0.37040122,97.12,90.24,0.00818712
30,0.074576829,0.405985205,97.424,89.99,0.008064535
31,0.073861167,0.398579367,97.326,90.7,0.007938926
32,0.063749243,0.402324775,97.752,90.67,0.007810417
33,0.057555669,0.393636886,97.998,91.25,0.007679134
34,0.056986359,0.4113464,97.982,90.56,0.007545207
35,0.053888271,0.457130836,98.116,90.09,0.007408768
36,0.048872271,0.416606815,98.256,91.07,0.007269952
37,0.047327901,0.455888833,98.422,90.48,0.007128896
38,0.046043661,0.465897387,98.376,90.17,0.006985739
39,0.044699952,0.434726206,98.44,90.55,0.006840623
40,0.039148099,0.565812444,98.628,89.49,0.00669369
41,0.041181223,0.478959194,98.574,90.07,0.006545085
42,0.033416561,0.433293923,98.862,90.85,0.006394956
43,0.029575674,0.437768064,98.952,91.05,0.006243449
44,0.033279255,0.41955605,98.876,91.74,0.006090716
45,0.029666848,0.536125369,98.97,90.1,0.005936907
46,0.030008298,0.499632711,98.964,90.49,0.005782172
47,0.024442163,0.491475337,99.138,91.34,0.005626666
48,0.023173859,0.446952204,99.144,91.83,0.005470542
49,0.024332492,0.552569017,99.14,90.37,0.005313953
50,0.023058628,0.494034099,99.224,90.95,0.005157054
51,0.022880441,0.471776952,99.188,91.28,0.005
52,0.019504432,0.503766318,99.326,90.94,0.004842946
53,0.020453141,0.469414909,99.298,91.63,0.004686047
54,0.016005512,0.483466983,99.45,91.69,0.004529458
55,0.01732719,0.478469074,99.406,91.46,0.004373334
56,0.016016138,0.477084439,99.42,91.71,0.004217828
57,0.013091413,0.486504057,99.582,91.82,0.004063093
58,0.012270853,0.467119321,99.546,92.23,0.003909284
59,0.011020846,0.532368456,99.626,91.6,0.003756551
60,0.013350205,0.4795819,99.552,92,0.003605044
61,0.011368576,0.488103888,99.6,92.07,0.003454915
62,0.009341384,0.498624629,99.678,91.98,0.00330631
63,0.006289358,0.475816097,99.796,92.43,0.003159377
64,0.007440361,0.493942997,99.752,92.2,0.003014261
65,0.007493215,0.495725054,99.76,92.02,0.002871104
66,0.006090597,0.521449322,99.798,91.73,0.002730048
67,0.007164615,0.520288519,99.752,92.21,0.002591232
68,0.006884971,0.539117994,99.746,92.01,0.002454793
69,0.005547619,0.503744085,99.816,92.44,0.002320866
70,0.003873984,0.50757139,99.872,92.48,0.002189583
71,0.004747879,0.519664163,99.846,92.11,0.002061074
72,0.005277557,0.517336037,99.828,92.39,0.001935465
73,0.003651914,0.514523683,99.88,92.25,0.00181288
74,0.004137249,0.522083732,99.856,92.45,0.001693441
75,0.002986422,0.502992849,99.896,92.54,0.001577264
76,0.002743404,0.505188279,99.92,92.71,0.001464466
77,0.002218029,0.503881292,99.922,92.65,0.001355157
78,0.002250021,0.52851212,99.928,92.81,0.001249445
79,0.00227103,0.520377899,99.918,92.68,0.001147434
80,0.001604045,0.525105297,99.958,92.76,0.001049225
81,0.001675718,0.516598259,99.956,92.72,0.000954915
82,0.00122522,0.505559147,99.968,92.91,0.000864597
83,0.001225739,0.518342346,99.966,92.75,0.00077836
84,0.001061013,0.535197781,99.964,92.75,0.00069629
85,0.00109342,0.539802546,99.964,92.63,0.000618467
86,0.000646544,0.545346562,99.99,92.78,0.000544967
87,0.001015077,0.538339052,99.958,92.87,0.000475865
88,0.000918061,0.542140254,99.962,92.93,0.000411227
89,0.000797843,0.540835898,99.98,92.92,0.000351118
90,0.000779897,0.543247546,99.976,92.87,0.000295596
