,train_loss,test_loss,train_ACC,test_ACC,lr
1,1.754059015,1.464195049,34.464,45.17,0.01
2,1.260729194,1.26371425,54.062,55.12,0.01
3,0.949792972,0.871210029,66.184,69.27,0.01
4,0.747355574,0.868545203,73.698,72.05,0.01
5,0.603917356,0.718599819,78.894,76.66,0.01
6,0.520659444,0.542650039,82.02,81.92,0.01
7,0.459305483,0.522635273,84.042,82.54,0.01
8,0.41230999,0.572607361,86.004,82.38,0.01
9,0.369714649,0.499220355,87.268,83.56,0.01
10,0.33352651,0.555572491,88.358,82.61,0.01
11,0.305766777,0.404868431,89.266,86.77,0.01
12,0.280338556,0.436571265,90.182,86.32,0.01
13,0.262433146,0.383134722,90.832,87.66,0.01
14,0.237023401,0.453709058,91.772,86.15,0.01
15,0.220882625,0.376865551,92.24,88.52,0.01
16,0.207642799,0.411461108,92.652,87.89,0.01
17,0.192200035,0.43085626,93.296,87.63,0.01
18,0.171021802,0.41111457,94.144,88.12,0.01
19,0.163399817,0.376935316,94.154,89.56,0.01
20,0.158784861,0.410781061,94.274,88.51,0.01
21,0.144902601,0.342765914,94.778,90,0.01
22,0.132268985,0.427532068,95.316,88.83,0.01
23,0.124599752,0.431678865,95.628,88.2,0.01
24,0.119866907,0.393793361,95.828,89.4,0.01
25,0.110345782,0.514675808,96.104,87.95,0.01
26,0.108404134,0.393550297,96.2,89.91,0.01
27,0.097441401,0.443350316,96.498,89.51,0.01
28,0.094964687,0.388857771,96.598,90.1,0.01
29,0.090398213,0.444349566,96.848,88.98,0.01
30,0.084168034,0.397667822,97.096,90.23,0.01
31,0.080447753,0.403344499,97.242,90.01,0.01
32,0.08043677,0.441763784,97.122,89.84,0.01
33,0.077846742,0.499265415,97.346,88.97,0.01
34,0.070519026,0.439782164,97.484,90.08,0.01
35,0.068621818,0.402848454,97.602,90.49,0.01
36,0.067742077,0.460195785,97.588,90.19,0.01
37,0.065364292,0.461944045,97.67,89.79,0.01
38,0.062473179,0.491215617,97.804,89.64,0.01
39,0.058813547,0.45301888,97.966,90.08,0.01
40,0.058251997,0.432040601,97.97,90.89,0.01
41,0.058236275,0.478054064,98.024,89.97,0.01
42,0.057111344,0.436069163,98.074,90.56,0.01
43,0.057919297,0.455336488,97.972,90.25,0.01
44,0.049489844,0.474521458,98.266,90.47,0.01
45,0.04822257,0.486638641,98.382,90.18,0.01
46,0.056470363,0.44637917,98.1,91.03,0.01
47,0.048938566,0.426796516,98.346,90.73,0.01
48,0.04819214,0.393471497,98.342,91.65,0.01
49,0.044466225,0.571166376,98.388,89.5,0.01
50,0.040860677,0.462199766,98.626,90.43,0.01
51,0.048654814,0.446559264,98.312,91.08,0.01
52,0.04178441,0.465130966,98.526,90.58,0.01
53,0.042628935,0.439145118,98.532,91.18,0.01
54,0.038793001,0.485667437,98.65,90.49,0.01
55,0.041875709,0.49599184,98.59,89.97,0.01
56,0.040517367,0.448328757,98.562,90.85,0.01
57,0.033502069,0.462713241,98.844,91.38,0.01
58,0.040397121,0.474661476,98.652,91.02,0.01
59,0.038504009,0.50141085,98.644,90.73,0.01
60,0.036859493,0.458470927,98.734,91.56,0.01
61,0.03486295,0.426788313,98.82,91.57,0.01
62,0.036266335,0.489188081,98.736,91.13,0.01
63,0.033311561,0.445839418,98.85,91.48,0.01
64,0.036164601,0.490718079,98.738,90.78,0.01
65,0.035968831,0.469900468,98.83,91.27,0.01
66,0.028735553,0.532440301,98.988,90.25,0.01
67,0.030300659,0.469633285,98.99,91.53,0.01
68,0.031515684,0.515241803,98.924,90.53,0.01
69,0.032758977,0.469252348,98.842,91.31,0.01
70,0.030552572,0.492894005,98.96,91.33,0.01
71,0.035653724,0.537756279,98.768,91.24,0.01
72,0.026253182,0.525472944,99.088,91.07,0.01
73,0.026505284,0.61112466,99.06,90.51,0.01
74,0.035499175,0.553549629,98.876,90.29,0.01
75,0.026540311,0.487160211,99.122,91.69,0.01
76,0.026781189,0.4628175,99.114,91.64,0.01
77,0.024172133,0.480719812,99.178,91.68,0.01
78,0.032186507,0.459890957,98.886,91.3,0.01
79,0.02696374,0.4975982,99.082,91.12,0.01
80,0.025177461,0.532331018,99.104,91.33,0.01
81,0.025146138,0.6334245,99.168,90.29,0.01
82,0.031620979,0.479339197,98.946,91.78,0.01
83,0.025212151,0.481181921,99.116,91.53,0.01
84,0.027768318,0.540484809,99.122,90.47,0.01
85,0.020030573,0.542307853,99.328,91.62,0.01
86,0.024212436,0.546098682,99.216,90.82,0.01
87,0.02107376,0.566960992,99.246,91.26,0.01
88,0.026827152,0.522153912,99.104,90.96,0.01
89,0.02739477,0.528425499,99.064,91.22,0.01
90,0.019998569,0.508350871,99.354,91.11,0.01
91,0.024256141,0.481968144,99.238,91.71,0.01
92,0.024483957,0.515732954,99.168,91.54,0.01
93,0.021516279,0.555646821,99.268,91.63,0.01
94,0.021993905,0.576004462,99.242,91.15,0.01
95,0.022024883,0.575088748,99.24,91.05,0.01
96,0.02338584,0.501420944,99.226,92,0.01
97,0.017821954,0.592005523,99.382,91.01,0.01
98,0.025479233,0.47147167,99.118,92.06,0.01
99,0.020599722,0.550418651,99.296,91.8,0.01
100,0.02299629,0.569085014,99.216,91.44,0.01
