,train_loss,test_loss,train_ACC,test_ACC,lr
0,1.9261783614487904,1.6110041570663451,28.01,38.64,0.1
1,1.4521972584297589,1.3830034494400025,46.24,49.98,0.1
2,1.1758892097131675,1.1606103801727294,57.478,58.84,0.1
3,0.9678534380615215,0.903684355020523,65.724,68.64,0.1
4,0.8406925722766105,1.0037700843811035,70.248,65.58,0.1
5,0.7122441447147018,1.01264515042305,75.228,68.09,0.1
6,0.624827223665574,0.7614127749204636,78.37,74.8,0.1
7,0.5697456737765876,0.9092279434204101,80.364,70.61,0.1
8,0.5255967686548257,0.6191745057702065,81.93,78.94,0.1
9,0.49838802050751496,0.7047797739505768,83.086,76.53,0.1
10,0.4711093170868466,0.9480440276861191,83.88,71.03,0.1
11,0.45936800467083827,0.7661944019794464,84.18,75.96,0.1
12,0.43733025896732153,0.5493753579258919,85.002,81.8,0.1
13,0.42289442761474866,0.5466581672430039,85.516,81.7,0.1
14,0.410848771405342,0.5224692478775979,85.874,82.74,0.1
15,0.3963214005808086,0.5993989071249962,86.338,80.19,0.1
16,0.3896158880284985,0.6973500072956085,86.738,77.01,0.1
17,0.38224694117560715,0.7936679074168205,87.004,75.28,0.1
18,0.3727798452005362,0.626110934317112,87.26,79.9,0.1
19,0.3723879071986279,0.6024260640144348,87.222,80.96,0.1
20,0.369731677691345,1.1229172682762145,87.312,70.47,0.1
21,0.3643705699678577,0.7163134029507637,87.422,78.87,0.1
22,0.3573817008596552,0.6464852158725262,87.862,80.54,0.1
23,0.35262119129795555,0.5166972163319588,87.854,83.11,0.1
24,0.3498226662197381,0.5288707685470581,87.982,82.58,0.1
25,0.34433014953837676,0.5284471118450165,88.114,82.6,0.1
26,0.34756013388981294,0.5165321326255798,88.108,83.63,0.1
27,0.3373457818766079,0.5833216917514801,88.492,81.64,0.1
28,0.3422893470205614,0.6182784858345985,88.42,81.54,0.1
29,0.3404193547985438,0.5814045184850692,88.286,81.0,0.1
30,0.3338041669877289,0.519573458135128,88.64,83.47,0.1
31,0.33388355118996654,0.9026775196194649,88.448,72.6,0.1
32,0.3255208208585334,0.5539035201072693,89.096,81.81,0.1
33,0.3308576784856484,0.6501498222351074,88.536,80.09,0.1
34,0.31780283073025284,0.4301759642362595,89.112,85.96,0.1
35,0.32093809011494717,0.48686046808958056,88.866,84.45,0.1
36,0.31822751050867387,0.615424072444439,89.036,80.73,0.1
37,0.3139370842967802,0.7145425641536712,89.196,78.65,0.1
38,0.3108715966077107,0.47429690092802046,89.344,83.93,0.1
39,0.31215513842490017,0.5900849401950836,89.412,80.7,0.1
40,0.31908529310884987,0.5216389694809913,89.122,82.43,0.1
41,0.3105546202882172,0.6562826251983642,89.372,80.53,0.1
42,0.3075297863968193,0.6275544837117195,89.47,79.77,0.1
43,0.30459352192061634,0.4299303153157234,89.662,85.82,0.1
44,0.3125892019332827,0.6011143243312835,89.128,81.24,0.1
45,0.30654763573270927,0.42250945523381234,89.512,85.55,0.1
46,0.3084284986757561,0.44908916130661963,89.436,85.27,0.1
47,0.3039039849396557,0.41085232406854627,89.73,86.47,0.1
48,0.3062427447884894,0.5254341191053391,89.654,83.29,0.1
